review_profilename,beer_beerid,beer_name,beer_abv,beer_style,review_overall,review_aroma,review_appearance,review_palate,review_taste
dirtylou,27804,Houblon Chouffe Dobbelen IPA Tripel,9.0,Belgian IPA,4.5,4.5,4.5,4.5,4.5
StoutHearted,2596,Oud Beersel Oude Kriek Vieille,6.5,Lambic - Fruit,4.0,4.0,4.5,4.0,4.0
biggred1,17207,Dark Horse Sapient Trip Ale,8.5,Tripel,3.5,3.5,3.5,4.0,3.5
BeerLover48Fan,5845,American Ale,5.0,American Pale Ale (APA),5.0,5.0,4.5,5.0,5.0
guitarmage,2270,Carlsberg Beer,5.0,Euro Pale Lager,4.0,3.0,4.0,3.0,3.5
Crotor,1670,Indica India Pale Ale,6.5,American IPA,3.0,3.5,3.0,4.0,4.0
glid02,58635,Black Hole (Rum Edition),13.1,Russian Imperial Stout,4.0,4.0,4.0,4.0,4.0
grub,27161,Newport Storm '05,11.7,American Strong Ale,4.0,4.5,4.0,4.0,4.0
junjun,48825,Improv (Improvisación) Oatmeal Rye India-Style Brown Ale,9.0,American Brown Ale,4.5,4.0,4.0,4.5,4.0
thepeter,56130,Cuvee-Brut,6.0,Fruit / Vegetable Beer,4.0,4.0,3.5,3.5,3.5
jtierney89,66281,Headwaters Pale Ale,5.1,American Pale Ale (APA),5.0,4.5,4.5,5.0,4.5
mo197,7487,Woodbridge Winter Warmer,5.9,Winter Warmer,3.5,4.0,4.0,3.5,3.0
kbnooshay,22189,Bengali Tiger,6.4,American IPA,4.5,4.5,4.5,4.0,4.5
HardTarget,1916,Porch Swing Single Ale,6.0,Belgian Pale Ale,3.5,2.0,3.5,4.0,3.0
botham,6305,Drie Fonteinen Oude Geuze,6.0,Gueuze,4.5,4.5,4.0,4.0,4.0
skizziks,1153,Chicory Stout,5.2,American Stout,3.0,3.5,3.5,3.5,3.5
gford217,48630,Descent - Imperial Abbey Ale,8.3,Belgian Strong Dark Ale,4.0,4.0,4.5,4.5,4.0
david18,29688,Cascade Single Hop IPA,6.8,American IPA,4.0,4.0,4.0,4.0,4.0
GreenWBush,3951,ApriHop,7.0,American IPA,3.0,4.0,4.0,3.5,3.0
JoeyBeerBelly,12104,Tröegs Dead Reckoning Porter,5.4,American Porter,4.0,4.0,4.0,4.0,4.5
Bonis,25756,Heavy Seas - Below Decks (Barley Wine Style Ale),10.0,English Barleywine,3.0,3.5,3.5,3.0,3.0
Knapp85,1017,Festbier,5.6,Märzen / Oktoberfest,2.5,2.5,3.0,3.0,2.0
Jmoore50,40291,Green Lakes Organic Ale,5.2,American Amber / Red Ale,3.5,4.5,4.0,3.5,4.0
warnerry,63152,30th Anniversary - Grand Cru,9.2,American Strong Ale,4.5,4.0,5.0,4.0,4.5
CVC,134,Ayinger Altbairisch Dunkel,5.0,Munich Dunkel Lager,5.0,4.5,4.0,4.0,5.0
Fishbone,921,Yuengling Porter (Dark Brewed),4.7,American Porter,3.5,3.0,3.5,3.0,3.5
Trueant1,13741,Redemption,5.15,Belgian Pale Ale,5.0,4.0,3.5,3.5,4.0
mntlover,52441,Stone 09.09.09 Vertical Epic Ale,8.6,Belgian Strong Dark Ale,3.5,4.5,4.0,3.5,4.0
schoolboy,4947,Highland St. Terese's Pale Ale,5.2,American Pale Ale (APA),4.0,4.5,3.5,4.0,3.5
jondeelee,3158,Hop Rod Rye,8.0,Rye Beer,5.0,5.0,4.5,4.5,5.0
RedDiamond,13616,Porter,5.8,American Porter,4.5,4.5,4.0,4.0,4.5
tzieser,280,Löwenbräu Original,5.2,Munich Helles Lager,4.0,3.5,3.5,4.0,3.5
stakem,1287,Bell's Porter,5.6,American Porter,4.0,3.0,4.5,4.0,3.0
mash4077,47151,Oak Aged Unearthly (Imperial India Pale Ale),11.0,American Double / Imperial IPA,4.5,3.5,3.5,3.5,4.5
TheManiacalOne,61750,Fall Summit,5.6,American Amber / Red Ale,3.5,3.5,4.0,4.0,3.5
mmcave,18862,Burton Baton,10.0,American Double / Imperial IPA,4.0,4.0,4.0,4.5,4.5
chaz01,48881,Colossus,21.92,American Strong Ale,3.0,4.0,4.0,4.0,5.0
Apellonious,1387,Humble Patience,4.6,Irish Red Ale,4.0,4.0,3.5,3.5,4.0
GRPunk,44280,Cocoa Stout,5.8,Milk / Sweet Stout,4.5,3.5,4.0,4.0,4.0
fx20736,276,Sierra Nevada Pale Ale,5.6,American Pale Ale (APA),4.0,4.0,4.0,3.0,4.0
Gfunk720,64226,The Event Horizon,8.5,American Double / Imperial Stout,4.5,5.0,4.0,4.5,4.5
TurdFurgison,60554,R&D Gueuze,6.2,American Wild Ale,4.0,4.5,3.0,4.0,4.0
BuckeyeNation,40897,Hook & Ladder Lighter,3.2,Kölsch,3.0,3.0,3.5,2.5,2.5
velosuds,34085,Green Flash Imperial India Pale Ale,9.4,American Double / Imperial IPA,4.0,5.0,4.5,4.0,4.5
ElGordo,6685,Dragonmead Under The Kilt Wee Heavy,7.8,Scotch Ale / Wee Heavy,3.5,4.0,3.5,3.5,3.5
lflow,32645,Stegmaier Oktoberfest,5.7,Märzen / Oktoberfest,4.0,3.5,3.0,4.0,3.5
barleywinefiend,27371,AleSmith Grand Cru Ale,10.0,Belgian Strong Dark Ale,4.0,4.0,4.0,4.0,4.5
Derek,6798,Boréale Noire,5.5,English Stout,4.0,3.5,3.5,3.5,3.5
MrVonzipper,74390,Samuel Adams Black & Brew Coffee Stout,5.8,American Stout,4.0,4.0,4.5,3.5,4.0
Gtreid,7697,Dark Horse Fore Smoked Stout,8.0,Smoked Beer,4.0,4.0,4.0,4.5,4.0
Smittysguinness,138,Corsendonk Pater / Abbey Brown Ale,7.5,Dubbel,4.0,4.0,4.0,4.0,4.0
yourefragile,46290,Jack D'or,6.4,Saison / Farmhouse Ale,4.5,4.0,4.0,4.0,4.0
KarlHungus,7348,Founders Porter,6.5,American Porter,5.0,5.0,4.0,4.0,5.0
Nerudamann,2355,Leinenkugel's Red,4.9,Vienna Lager,3.0,3.0,4.0,3.0,3.5
MetalHopHead6,3677,Tröegs Rugged Trail Nut Brown Ale,4.4,English Brown Ale,4.0,3.5,3.5,3.5,4.0
bashiba,38394,Pumking,8.6,Pumpkin Ale,4.0,4.5,3.5,4.0,4.5
GarthDanielson,16085,Tailwagger Wheat,4.9,Hefeweizen,3.5,3.5,3.5,4.0,3.5
connecticutpoet,17727,La Trappe Enkel,5.5,Belgian Pale Ale,4.0,4.0,3.5,3.5,4.0
matttttYCE,1010,Prima Pils,5.3,German Pilsener,4.0,4.0,3.5,4.0,4.5
GreenCard,8070,Pilaarbijter (Tripel Ale) Blond (Brass Cap),7.5,Tripel,3.0,3.0,3.5,3.5,3.0
htomsirveaux,50241,St. Lupulin,6.5,American Pale Ale (APA),4.0,4.5,4.0,4.0,4.0
Phyl21ca,1262,Bully! Porter,5.2,American Porter,4.0,4.0,3.0,4.0,4.0
rkuhnel,37062,Spring Run Organic Pale Ale,5.7,American Pale Ale (APA),4.0,4.0,4.0,4.0,4.0
TheJoj,7667,Carolina Nut Brown Ale,4.7,English Brown Ale,4.0,4.0,3.5,4.0,3.5
william5586,927,Beamish Irish Stout,4.1,Irish Dry Stout,4.5,3.0,3.0,3.5,4.0
chinchill,61069,BottleTree Belgian Blonde,5.0,Belgian Pale Ale,3.5,4.0,3.5,3.0,3.5
LeathChuinn,52731,Nils Oscar Hop Yard IPA,7.3,American IPA,3.0,3.0,3.0,3.0,3.0
hckyfn9999,39286,Christmas Ale,10.0,Belgian Strong Dark Ale,3.5,4.0,4.0,4.0,4.0
Mora2000,41558,Newbold IPA,6.5,American IPA,4.0,3.5,4.0,4.0,3.5
maltydog,7692,Dom Kölsch,4.8,Kölsch,4.5,4.0,4.5,3.5,4.0
ClockworkOrange,34916,Colonial Wheat Ale,5.3,American Pale Wheat Ale,3.5,3.0,3.5,3.0,3.0
irishkyle21,129,Orval Trappist Ale,6.9,Belgian Pale Ale,5.0,5.0,5.0,4.5,4.5
PaleRider54,3646,Urthel Hibernus Quentum,9.0,Tripel,4.5,5.0,4.5,5.0,4.0
TheBierBand,2511,Bell's Cherry Stout,7.0,American Stout,4.0,4.0,4.0,3.5,4.0
TerryW,222,Fuller's London Pride,4.7,English Pale Ale,3.0,3.0,4.0,3.5,3.0
Saunapoika,693,Shipyard IPA,5.8,English India Pale Ale (IPA),3.5,4.5,3.5,3.5,4.0
mdagnew,7468,Duchesse Anne,6.5,Belgian Pale Ale,4.0,4.0,4.0,3.5,4.0
tobelerone,71947,Samuel Adams 13th Hour Stout,9.0,Belgian Strong Dark Ale,4.0,4.0,4.0,4.5,4.0
paterlodie,30296,Paderborner Pilsener,4.8,German Pilsener,4.0,4.0,4.0,3.5,3.5
adamette,26203,Petrus Dubbel,6.5,Dubbel,4.0,4.0,4.0,4.0,4.5
WanderingFool,51512,Peeper Ale,5.5,American Pale Ale (APA),4.0,4.0,4.5,3.5,4.0
DrJay,4895,Douglas Scotch Ale,8.6,Scotch Ale / Wee Heavy,4.0,4.0,4.0,3.5,3.5
phiberoptik,40151,Grand Illumination,10.0,American Barleywine,4.0,4.5,4.0,4.0,4.0
Shades,229,Great Lakes Eliot Ness,6.2,Vienna Lager,3.0,3.5,4.0,3.5,3.5
n0315,650,Guinness Extra Stout (Original),6.0,Irish Dry Stout,4.0,3.5,4.0,4.0,4.0
lpayette,1894,Druid Fluid,9.5,American Barleywine,4.5,4.5,4.0,4.5,4.0
thedoubler55,15989,"Heavy Seas - Winter Storm (""Category 5"" Ale)",7.5,Extra Special / Strong Bitter (ESB),4.0,4.0,4.0,3.5,4.5
kflorence,1862,Leffe Brune / Brown,6.5,Belgian Dark Ale,4.0,3.5,4.0,3.5,4.0
FrognutUnl,10308,Drake's IPA,7.0,American IPA,3.0,4.0,3.5,3.5,3.5
Bierbauch,224,Schneider Aventinus,8.2,Weizenbock,3.0,4.0,4.0,3.5,4.0
Petrislav,52281,Sweetwater Dank Tank Big Ol' Belgian Blue Balls,8.0,Fruit / Vegetable Beer,3.5,3.5,4.5,3.5,4.0
iceviper22,40302,Stoudt's Brewer's Reserve Scotch Style Ale,8.2,Scotch Ale / Wee Heavy,4.0,4.0,4.5,4.0,4.0
estereich,16329,Nefarious Ten Pin Imperial Porter,8.0,Baltic Porter,4.5,4.0,4.5,4.0,4.5
UnionMade,5753,Fire Rock Pale Ale,5.8,American Pale Ale (APA),4.5,3.5,4.5,4.0,3.5
Pegasus,5374,Indian River Amberjack Alt,5.0,Altbier,3.0,3.5,3.5,3.5,3.0
GilGarp,13741,Redemption,5.15,Belgian Pale Ale,4.5,4.0,4.0,4.0,4.5
KomodoDragon,1914,1554 Enlightened Black Ale,5.6,Belgian Dark Ale,4.5,4.0,5.0,4.0,4.0
taez555,75086,Stone 11.11.11 Vertical Epic Ale,9.4,Belgian Strong Pale Ale,4.0,4.0,4.0,4.0,4.0
bradford,2392,World Wide Stout,18.0,American Double / Imperial Stout,4.0,4.0,5.0,4.5,5.0
kkipple,25880,Imperial Pumpkin Ale,8.0,Pumpkin Ale,3.0,4.0,4.0,3.0,3.5
PatandDavid,10324,Irresistible Brune,7.5,Belgian Strong Dark Ale,3.0,3.0,3.0,3.0,3.0
dsa7783,574,Samuel Smith's Pure Brewed Lager Beer,5.0,Euro Pale Lager,3.0,2.5,2.5,3.0,3.0
BeerNemesis,39908,Shock Top Belgian White,5.2,Witbier,2.5,3.0,3.0,3.0,2.0
pmlondrigan,6306,Drie Fonteinen Oude Kriek,6.0,Lambic - Fruit,5.0,4.0,3.5,4.0,4.5
WesWes,57341,Heavy Seas - Märzen,5.75,Märzen / Oktoberfest,4.0,4.0,4.0,3.5,3.5
Suds,12279,Melbourn Bros. Cherry,3.4,Fruit / Vegetable Beer,4.0,4.5,4.0,3.5,4.0
irishtjb11,573,Samuel Smith's India Ale,5.0,English India Pale Ale (IPA),4.0,3.5,4.0,3.0,3.5
HardTarget,31,Blanche De Chambly,5.0,Witbier,3.0,3.5,4.5,4.0,3.0
audiojon,248,Hoegaarden Original White Ale,4.9,Witbier,4.5,4.0,4.5,4.0,4.5
machostacos,773,Goudenband,8.0,Flanders Oud Bruin,4.0,4.5,4.5,3.5,4.0
cagocubs,2219,Riverwest Stein Beer,5.68,American Amber / Red Lager,4.0,4.0,4.0,3.5,4.0
brewdub17,12013,Yeti Imperial Stout,9.5,Russian Imperial Stout,3.5,4.0,4.5,4.5,4.0
DocAJ,17819,Sweaty Betty Blonde,5.9,American Pale Wheat Ale,4.5,4.0,4.0,4.0,3.0
Suds,9946,Tilburg's Dutch Brown Ale,5.0,Belgian Dark Ale,4.0,4.0,4.0,3.5,3.5
boilermakerbrew,65,Budweiser,5.0,American Adjunct Lager,3.0,3.0,2.5,2.5,3.0
Atron67,262,Saint Bridget's Porter,5.9,American Porter,4.0,4.0,4.5,4.0,4.0
Chumley,43353,Coney Island Human Blockhead,10.0,Doppelbock,3.5,4.0,3.5,3.5,4.0
deltatauhobbit,672,Chimay Première (Red),7.0,Dubbel,3.5,4.0,4.0,3.0,3.5
Greasetrap,52695,Heavy Seas - The Great Pumpkin,8.0,Pumpkin Ale,4.5,4.5,4.0,4.0,4.0
GClarkage,1256,Paulaner Hefe-Weissbier Naturtrüb,5.5,Hefeweizen,4.5,4.0,5.0,4.5,4.5
htomsirveaux,35223,Au Naturale Organic Blonde Ale,4.94,American Blonde Ale,3.0,3.0,3.0,3.0,3.5
emmasdad,40149,Brooklyn Black OPS,10.7,Russian Imperial Stout,4.0,4.5,4.5,4.0,4.0
brownbeer,55767,Lips Of Faith - Dark Heather Saison,7.5,Saison / Farmhouse Ale,3.5,3.5,4.0,3.5,4.0
Mistofminn,1917,La Folie,6.0,Flanders Red Ale,4.0,4.5,4.5,4.0,4.0
Seanibus,43987,Blob Ale,8.0,American Amber / Red Ale,3.0,3.0,3.0,3.0,3.0
herman77,47692,Night Stalker,11.7,American Double / Imperial Stout,4.0,4.5,4.0,5.0,4.5
scruffwhor,1117,Bell's Kalamazoo Stout,6.0,American Stout,4.0,4.0,4.0,4.0,4.5
dmbsteve,27857,Old Leghumper,6.7,American Porter,4.0,4.0,4.0,4.0,4.5
atrus138,73,Young's Double Chocolate Stout,5.2,Milk / Sweet Stout,3.5,4.5,4.0,3.0,3.5
brdc,40149,Brooklyn Black OPS,10.7,Russian Imperial Stout,5.0,4.5,4.0,4.0,4.5
ncbeermonger,22505,Green Flash West Coast I.P.A.,7.3,American IPA,4.5,4.5,4.5,4.5,4.5
nflmvp,6384,Arcadia Loch Down Scotch Ale,8.0,Scotch Ale / Wee Heavy,4.0,3.5,3.5,4.0,4.0
number1bum,12104,Tröegs Dead Reckoning Porter,5.4,American Porter,3.5,3.0,4.0,4.0,3.5
AlesRTasty,51300,Lips Of Faith - Biere De Mars,6.2,Bière de Garde,2.5,4.0,3.0,4.0,3.0
BEERchitect,15216,Samuel Adams Hefeweizen,5.4,American Pale Wheat Ale,4.0,3.5,4.0,3.5,3.5
brandoneast,411,Pranqster,7.6,Belgian Strong Pale Ale,5.0,2.5,4.0,4.5,4.5
hiku7,49789,A Little Sumpin' Sumpin' Ale,7.5,American Pale Wheat Ale,4.0,4.0,4.0,4.0,4.5
northyorksammy,26091,Old Plowshare Stout,5.7,American Stout,3.5,4.0,3.5,3.5,3.5
beveragecaptain,20564,Samuel Adams Holiday Porter,5.8,American Porter,4.0,4.5,4.5,4.0,4.0
barleywinefiend,54089,Life & Limb,10.2,American Strong Ale,4.5,4.5,4.0,4.5,5.0
oracle,12690,Morimoto Imperial Pilsner,8.8,American Double / Imperial Pilsner,4.5,3.5,4.0,4.0,4.5
yemenmocha,12896,Hop Knot,6.7,American IPA,4.0,4.5,4.5,2.0,4.0
Gueuzedude,28617,Inevitable Ale,7.1,American Blonde Ale,3.5,3.5,4.0,4.0,3.5
BeerShirts,2899,Andechser Doppelbock Dunkel,7.1,Doppelbock,5.0,5.0,4.0,4.0,4.5
HBeezley,41182,Belgian White,4.7,Witbier,2.5,4.0,4.0,2.0,2.0
Murph,1630,Geary's Hampshire Special Ale,7.0,English Strong Ale,4.5,4.0,3.5,4.0,4.0
ncbrewerbun,1587,Midas Touch Golden Elixir,9.0,Herbed / Spiced Beer,4.0,4.5,3.5,4.0,4.0
PerzentRizen,35738,Hop Stoopid,8.0,American Double / Imperial IPA,3.5,4.0,4.0,4.0,4.5
Tucquan,74640,Scratch Beer 51 - 2011 (Fat Scratch Fever),9.6,American IPA,4.5,4.0,4.5,4.0,4.5
harrymel,17015,Rothaus Pils Tannen Zäpfle,5.1,German Pilsener,4.5,4.5,4.5,4.0,5.0
BringusKilkenney,1056,Double Bastard Ale,10.5,American Strong Ale,4.5,4.0,5.0,5.0,4.5
wl0307,26320,Huck-me-buck,4.4,Winter Warmer,3.5,3.5,3.0,4.0,4.0
GodOfBeer,55243,Sierra Nevada Glissade Golden Bock,6.4,Maibock / Helles Bock,4.5,3.5,3.0,4.0,3.5
deBeers,412,Old Rasputin Russian Imperial Stout,9.0,Russian Imperial Stout,4.5,4.0,4.5,4.0,4.5
dasenebler,58922,Ommegang Zuur,6.0,Flanders Oud Bruin,4.0,4.0,3.5,3.0,3.5
brentk56,53827,Local Harvest Ale,6.2,American Pale Ale (APA),4.5,4.5,4.0,4.0,4.5
james1968,412,Old Rasputin Russian Imperial Stout,9.0,Russian Imperial Stout,5.0,5.0,5.0,5.0,5.0
Absumaster,3567,Paienne,5.0,American Blonde Ale,4.0,3.5,3.5,3.0,3.5
Floydster,37124,Short's Good Feller,10.0,American Double / Imperial IPA,3.5,4.5,4.5,3.5,4.5
chiapete,2973,Scape Goat Pale Ale,5.0,American Pale Ale (APA),4.0,3.5,3.5,4.0,4.0
ThreeWiseMen,56973,Shakespeare Oatmeal Stout,6.1,Oatmeal Stout,4.5,4.0,5.0,4.5,4.5
westweasel,73,Young's Double Chocolate Stout,5.2,Milk / Sweet Stout,5.0,4.0,4.0,4.0,4.5
AgentZero,54547,Brouwers Imagination Series #2 Strong Sour,9.5,American Wild Ale,4.5,4.0,3.5,4.0,4.5
JamnesCameron,67253,TNT,7.9,Weizenbock,2.0,2.0,4.0,2.5,2.0
perrymarcus,3158,Hop Rod Rye,8.0,Rye Beer,4.0,4.0,4.0,4.0,4.5
plaid75,1967,Baltika #9 Extra (Strong),8.0,Euro Strong Lager,1.5,2.0,2.5,2.0,2.0
wnhay,731,Weihenstephaner Hefeweissbier,5.4,Hefeweizen,5.0,4.5,5.0,4.5,5.0
bum732,57517,Heavy Seas - Pale Ale,4.75,English Pale Ale,4.0,4.0,4.5,4.5,4.0
thierrynantes,17234,Karlsbräu,5.0,German Pilsener,2.5,2.5,3.0,2.5,2.5
charlzm,16074,Founders Red's Rye PA,6.6,Rye Beer,1.5,3.0,2.5,3.5,2.5
TastyTaste,134,Ayinger Altbairisch Dunkel,5.0,Munich Dunkel Lager,4.0,3.5,4.0,3.0,4.0
tigg924,35215,Raspberry Wheat Ale,4.5,American Pale Wheat Ale,2.5,3.5,3.0,3.0,2.5
rallison,14366,Imperial IPA,9.0,American Double / Imperial IPA,4.5,4.5,4.0,4.5,4.5
