review_overall,review_aroma,review_appearance,review_palate,review_taste,cluster
3.0,3.0,3.0,3.0,3.0,92
4.0,4.0,4.0,4.0,4.0,49
3.5,4.0,4.5,4.0,4.0,93
4.0,4.0,4.5,3.5,4.0,94
4.0,4.5,4.0,4.0,4.5,70
4.0,3.5,4.0,3.5,3.0,95
3.0,4.5,3.5,4.0,4.0,96
3.5,4.0,3.0,4.0,4.0,97
4.0,4.0,4.0,4.0,4.0,49
4.5,3.5,4.5,4.0,3.5,98
4.5,4.0,4.5,4.0,4.5,99
4.5,4.5,5.0,4.5,5.0,100
4.0,4.0,4.0,3.5,4.5,101
2.0,2.5,3.0,3.0,2.5,102
3.5,3.0,4.0,4.0,3.5,11
3.5,4.0,3.5,3.5,3.0,103
2.5,2.5,2.0,2.5,3.0,-1
4.5,4.5,4.5,4.0,5.0,104
4.5,4.5,5.0,4.5,4.0,105
3.0,3.5,3.5,3.0,3.5,106
3.5,3.0,4.0,4.0,3.5,11
4.5,4.5,4.5,4.5,4.5,59
4.0,3.0,4.0,3.5,3.5,107
3.5,3.5,3.5,3.0,4.0,108
3.0,3.0,3.5,4.0,3.0,109
3.0,2.5,3.0,2.5,2.5,110
3.5,2.5,3.0,3.5,3.0,111
4.0,3.0,4.0,4.5,4.0,112
4.5,4.5,4.5,4.5,4.5,59
3.5,4.0,4.0,3.5,4.5,113
3.0,4.5,4.0,4.5,5.0,-1
3.0,4.0,3.5,4.0,3.5,114
3.5,3.5,3.0,3.5,3.0,115
4.5,5.0,4.0,5.0,4.5,116
3.5,4.0,4.0,3.0,3.5,117
2.5,3.0,2.0,3.0,2.5,-1
4.5,4.0,5.0,4.0,4.5,55
4.5,4.0,4.5,4.0,4.5,99
4.0,4.0,4.5,3.5,4.0,94
4.0,4.0,4.0,4.0,4.0,49
3.0,4.0,3.0,3.0,3.0,118
3.5,3.5,4.0,3.5,3.5,6
3.0,4.0,3.5,4.0,2.5,-1
5.0,4.5,4.5,4.5,4.5,85
4.0,5.0,4.5,4.5,4.0,119
4.5,5.0,4.5,4.5,4.5,120
4.0,4.0,4.0,4.5,4.5,86
4.0,4.0,4.0,4.0,4.0,49
3.5,3.5,4.5,3.5,4.0,121
4.0,4.0,4.0,4.5,4.0,122
4.0,3.5,4.0,3.5,3.5,123
3.0,2.0,3.5,3.5,3.5,-1
4.0,3.5,4.0,4.0,4.0,124
4.5,3.0,4.5,4.0,3.5,-1
4.0,4.0,4.5,4.0,4.0,12
4.0,4.0,3.5,4.0,4.0,35
4.5,4.0,4.0,3.5,4.0,125
4.0,4.0,4.5,3.5,4.0,94
5.0,4.5,5.0,5.0,5.0,126
3.0,2.0,3.0,3.0,3.0,127
3.5,3.5,3.5,3.0,3.0,128
4.0,2.5,3.5,3.5,4.0,129
3.5,3.5,4.0,4.0,3.5,2
4.0,4.0,4.5,4.0,4.0,12
4.5,4.0,4.0,4.0,4.0,25
4.5,3.0,3.0,4.5,4.0,130
4.0,3.5,3.5,3.5,3.5,13
4.0,4.0,4.5,4.0,4.0,12
4.0,4.0,4.0,4.0,4.5,34
4.5,4.0,4.0,4.0,4.5,131
5.0,4.0,4.5,5.0,5.0,132
4.5,4.5,3.0,4.5,4.5,133
4.5,5.0,4.5,4.5,5.0,36
4.0,3.5,4.5,4.0,4.0,71
5.0,4.0,3.5,4.0,3.5,-1
3.5,3.5,3.0,3.5,3.0,115
5.0,5.0,5.0,5.0,5.0,0
4.0,4.0,4.5,4.0,4.0,12
3.0,3.5,3.0,2.5,3.0,43
3.5,3.5,3.5,3.5,3.5,134
3.5,3.0,3.5,3.5,3.0,75
4.0,3.5,4.0,4.0,3.5,16
4.5,4.0,4.0,4.5,4.5,135
3.0,3.0,4.0,3.0,3.0,28
4.0,4.0,2.0,2.5,3.5,-1
3.5,2.5,1.5,1.5,2.0,-1
4.5,4.0,4.5,4.5,4.5,136
4.0,4.0,4.0,4.0,4.0,49
4.0,3.5,3.0,4.5,4.0,137
3.5,3.5,3.5,3.0,3.0,128
3.5,3.5,4.0,4.0,3.5,2
4.0,4.0,3.5,4.0,4.5,138
3.5,3.5,3.5,3.5,3.0,139
4.5,4.0,4.0,4.0,4.5,131
3.5,3.5,4.0,3.5,3.0,140
4.0,4.5,4.0,4.0,4.0,8
4.5,4.0,4.5,4.0,4.5,99
4.0,4.0,4.5,4.5,4.0,57
5.0,4.5,4.0,4.0,4.5,141
4.0,3.5,4.0,4.0,4.5,142
3.5,4.5,3.5,4.5,4.5,143
4.0,3.0,4.0,3.5,3.5,107
4.0,4.0,3.5,4.0,4.0,35
3.5,3.0,3.5,3.5,4.0,144
4.0,4.0,4.5,4.0,4.5,10
4.0,4.5,4.5,4.5,3.5,145
5.0,5.0,5.0,5.0,5.0,0
4.5,4.0,4.0,4.0,4.5,131
3.5,4.5,3.5,3.5,4.5,146
4.0,4.5,5.0,5.0,4.5,147
4.0,4.5,4.0,4.5,4.5,148
3.5,4.0,3.5,3.5,3.5,149
4.0,3.5,3.5,3.5,4.0,150
2.0,3.0,4.0,2.5,2.0,151
2.0,1.5,2.0,1.5,2.0,152
4.5,4.5,4.0,4.5,4.5,153
3.5,4.5,4.5,4.0,4.5,154
5.0,5.0,4.5,4.5,5.0,155
4.0,4.0,4.0,4.5,4.5,86
4.0,3.5,4.0,4.0,4.0,124
4.0,4.0,4.5,4.5,4.0,57
4.5,4.0,4.5,4.5,3.5,156
4.5,4.0,4.0,4.5,4.5,135
4.5,4.0,4.0,3.5,3.5,157
4.0,3.5,4.0,4.5,3.5,158
4.0,3.5,3.5,3.5,4.0,150
4.0,3.5,3.5,4.0,3.5,159
2.5,3.5,4.0,3.0,3.0,160
4.0,4.0,3.5,3.5,4.0,81
3.5,3.5,3.5,3.5,3.5,134
4.0,4.0,4.0,4.0,4.0,49
3.5,4.0,3.5,3.5,3.5,149
3.5,3.5,3.5,4.0,3.0,161
3.5,4.0,4.0,4.0,4.0,79
4.0,3.0,4.0,4.0,3.0,162
4.5,4.0,4.5,4.0,4.5,99
4.0,4.0,4.0,4.0,3.5,38
4.5,4.0,4.5,4.0,4.0,82
4.5,4.0,4.0,4.0,3.5,163
4.0,3.5,4.0,3.5,4.0,164
4.0,4.0,5.0,4.0,4.5,165
3.0,1.5,3.5,3.5,2.5,-1
4.5,4.0,4.0,4.0,4.5,131
3.5,3.0,3.0,4.0,3.5,166
4.0,4.0,3.5,4.0,3.5,167
4.5,4.0,4.5,4.0,4.0,82
4.0,4.0,4.0,4.0,4.0,49
3.0,4.5,4.0,2.5,3.5,-1
4.0,4.0,4.5,4.0,4.5,10
4.0,4.0,4.0,4.0,4.0,49
3.5,3.0,4.0,3.0,3.5,168
3.0,3.5,3.0,4.0,2.5,-1
4.0,4.5,4.5,4.0,4.0,46
3.5,4.0,4.0,3.5,3.0,169
4.0,3.5,4.0,4.0,3.5,16
5.0,4.5,4.5,4.0,5.0,170
2.0,3.0,2.5,1.5,3.0,-1
5.0,4.0,4.0,4.0,4.5,171
3.5,3.5,3.0,4.0,4.0,47
3.5,4.0,3.5,3.5,3.5,149
3.5,4.0,4.5,3.5,4.0,172
2.5,2.0,3.0,2.0,3.0,-1
3.5,4.0,4.0,4.0,4.0,79
4.0,4.0,4.5,4.0,4.0,12
4.0,4.0,3.5,3.5,4.0,81
5.0,4.0,3.5,4.5,4.0,173
4.0,4.0,4.5,4.0,4.0,12
5.0,4.5,4.5,4.0,4.5,174
4.0,5.0,4.0,4.5,5.0,175
2.5,2.5,3.5,3.5,2.5,176
4.5,4.0,4.0,4.0,4.0,25
4.0,4.0,4.0,3.5,3.5,177
4.5,3.0,4.5,4.5,3.5,-1
5.0,5.0,4.0,4.5,4.0,-1
3.0,2.5,3.5,3.0,3.5,178
4.0,3.5,4.0,5.0,4.0,179
4.0,4.0,4.5,4.0,4.0,12
3.5,3.5,4.0,4.0,3.5,2
4.5,4.0,4.0,3.5,4.5,180
3.0,3.5,3.5,3.5,3.5,23
3.0,4.0,4.5,3.5,2.5,-1
3.5,4.5,4.0,4.0,4.5,77
4.5,4.5,4.0,4.0,4.5,5
4.5,4.0,4.5,4.0,4.0,82
4.5,4.5,4.5,4.0,4.0,181
4.5,3.5,3.5,4.0,5.0,182
3.5,3.0,4.0,3.0,3.0,183
4.0,4.5,4.0,3.5,4.0,21
4.0,4.5,4.0,3.5,4.0,21
3.5,4.0,3.5,4.0,4.0,184
4.5,3.5,4.0,4.5,3.5,185
5.0,4.0,4.5,4.5,4.5,91
3.5,3.0,4.0,4.0,3.5,11
4.5,3.5,4.0,4.0,4.0,186
4.0,3.5,4.0,4.0,4.5,142
4.5,4.0,4.0,4.0,4.0,25
4.0,3.5,3.0,4.0,4.0,187
4.0,3.5,4.0,3.5,4.0,164
4.5,4.5,4.0,4.0,4.5,5
4.0,3.5,4.0,4.0,4.0,124
4.5,3.0,4.5,3.0,4.5,-1
4.0,5.0,5.0,3.0,4.0,-1
4.0,3.5,4.0,3.5,4.0,164
2.0,2.5,3.0,2.0,2.0,188
2.5,2.5,4.0,3.0,3.0,189
4.0,4.0,4.0,4.0,4.0,49
3.0,3.0,4.5,3.0,3.5,-1
5.0,5.0,4.5,4.5,5.0,155
3.0,3.5,4.5,3.5,3.5,190
4.5,4.0,4.0,4.0,4.0,25
4.0,4.0,4.5,4.5,4.5,191
4.5,4.0,4.0,4.5,4.0,192
4.5,3.5,4.0,4.0,4.0,186
4.0,4.0,3.0,3.5,4.5,193
4.0,4.0,4.0,3.5,4.0,194
4.5,4.0,4.0,4.5,4.0,192
3.5,4.0,4.0,3.0,3.0,195
3.0,3.0,4.0,2.0,3.0,196
4.5,4.0,4.5,4.5,4.5,136
2.5,2.5,2.5,3.0,3.0,197
4.0,3.0,4.0,3.5,3.5,107
4.5,4.0,4.5,4.5,4.5,136
4.0,4.0,3.5,4.0,4.0,35
3.0,3.0,3.5,3.5,3.0,198
4.5,4.5,4.0,3.5,4.5,199
4.0,5.0,3.5,4.0,4.0,200
3.5,4.0,4.0,4.0,3.5,90
4.0,3.0,3.0,4.0,4.0,201
3.5,3.0,5.0,4.0,3.5,-1
4.0,4.0,4.0,4.0,4.0,49
3.5,4.0,4.5,3.0,3.5,202
4.5,5.0,4.5,4.5,5.0,36
4.5,4.0,4.0,4.5,4.0,192
3.0,2.5,3.5,2.5,1.5,-1
4.0,4.5,4.0,4.5,4.0,203
5.0,4.5,5.0,5.0,4.5,204
3.5,3.5,4.0,2.5,2.5,-1
3.5,3.5,3.5,3.5,3.5,134
4.0,4.0,4.5,4.0,4.0,12
3.5,3.5,4.0,3.5,3.5,6
4.0,4.0,4.0,4.0,4.0,49
3.5,3.5,4.0,3.0,4.0,205
3.0,3.5,4.0,3.5,3.0,206
4.0,3.5,4.0,4.0,3.5,16
3.5,4.0,3.5,4.0,3.5,207
4.0,4.5,4.0,5.0,4.5,208
3.0,2.5,3.0,3.0,3.0,58
4.5,4.0,4.5,4.0,4.0,82
3.5,4.5,4.5,3.5,4.0,209
3.5,3.0,3.5,3.0,3.5,210
2.5,3.5,3.5,3.5,3.0,211
3.5,3.5,4.0,3.5,3.0,140
5.0,4.5,4.5,4.5,5.0,212
3.5,3.5,3.5,3.5,3.5,134
4.5,4.5,5.0,4.5,4.5,213
4.5,4.0,4.0,4.0,4.0,25
4.0,3.0,4.0,3.5,3.5,107
4.0,3.5,4.0,3.5,3.5,123
4.5,4.5,3.5,4.0,4.0,214
4.0,3.5,3.5,3.5,4.0,150
4.5,4.5,3.5,4.0,4.5,215
4.0,3.5,3.5,3.5,3.5,13
3.0,3.5,3.5,3.0,2.5,216
2.0,3.0,3.0,2.5,2.0,217
4.5,4.0,4.0,4.0,4.0,25
4.0,4.0,4.0,3.5,4.5,101
4.0,4.0,4.0,4.0,4.0,49
3.5,3.5,4.5,3.0,4.0,218
3.5,3.5,3.5,3.5,4.0,219
4.5,5.0,4.5,4.5,4.5,120
4.5,4.5,4.5,4.5,5.0,220
4.5,5.0,5.0,4.0,4.5,221
4.0,3.5,3.0,4.0,3.5,222
4.0,4.0,4.0,3.5,3.5,177
3.5,3.0,3.5,3.5,3.5,14
3.5,3.5,3.0,4.0,3.5,223
4.5,4.0,4.5,4.0,4.5,99
4.5,4.5,3.0,4.0,5.0,-1
3.5,3.5,4.0,3.5,3.5,6
4.0,3.0,3.0,3.5,4.0,224
4.5,4.0,4.5,4.0,4.5,99
4.0,4.5,5.0,4.0,4.5,225
4.5,4.5,4.0,4.0,4.0,7
4.5,3.5,4.0,4.5,3.5,185
3.5,3.5,3.0,3.0,3.5,226
3.5,3.5,3.5,3.5,4.0,219
4.5,3.0,4.0,3.5,4.0,227
1.5,1.5,3.5,2.5,2.5,-1
3.5,4.5,4.0,4.0,4.0,88
4.0,4.0,3.5,3.5,4.0,81
3.0,3.5,3.5,3.5,3.5,23
4.5,4.0,4.0,4.0,4.0,25
3.5,4.0,3.5,3.5,4.0,228
4.0,3.5,4.0,4.0,4.0,124
4.5,4.0,4.0,4.5,5.0,229
4.5,4.5,4.0,4.5,4.5,153
4.0,3.5,4.0,4.0,4.5,142
3.5,4.0,4.5,4.0,3.5,230
2.5,3.5,4.0,3.0,3.0,160
3.5,3.5,4.5,3.5,3.5,231
4.0,4.0,4.0,4.0,4.0,49
1.0,1.5,2.0,1.5,1.5,232
5.0,5.0,5.0,5.0,5.0,0
4.5,4.0,4.5,4.5,4.0,50
4.0,3.5,4.5,3.5,4.0,233
3.0,3.5,4.0,4.0,4.0,234
4.0,3.0,4.0,4.0,4.0,235
3.0,1.5,3.5,3.0,3.0,-1
4.0,4.0,4.5,4.0,3.5,236
3.5,3.5,4.0,3.0,3.5,237
4.5,4.0,4.5,3.5,4.5,238
4.0,3.5,3.5,4.0,4.0,26
4.0,4.5,4.5,4.0,4.0,46
3.0,3.5,3.5,4.5,3.5,-1
4.0,3.5,3.0,3.0,4.0,239
4.5,4.5,4.0,4.0,4.5,5
4.5,4.5,4.5,4.5,4.5,59
3.0,4.0,4.0,3.0,3.0,240
4.5,4.5,4.5,4.5,4.5,59
4.5,4.5,4.0,4.5,4.0,1
5.0,4.5,4.0,4.5,4.5,241
4.5,4.0,3.0,3.0,4.0,242
3.5,3.0,4.0,3.0,3.5,168
4.5,4.5,4.0,4.0,4.5,5
4.5,3.0,4.0,4.0,4.5,243
4.5,4.0,4.0,4.0,4.0,25
5.0,2.0,2.0,3.0,3.0,-1
4.5,3.0,2.5,5.0,5.0,-1
4.0,4.0,4.0,4.0,4.0,49
4.5,4.0,3.5,4.0,4.0,244
3.5,4.0,3.5,4.0,4.0,184
3.0,4.0,4.0,4.0,3.5,73
4.0,4.5,4.0,4.5,4.5,148
3.5,4.0,4.0,5.0,3.5,-1
4.0,5.0,5.0,5.0,4.5,245
3.5,4.0,4.0,4.0,4.0,79
4.0,3.5,4.0,4.0,4.5,142
4.0,4.0,3.5,3.5,4.5,246
4.0,3.0,3.5,4.0,4.0,247
4.5,4.0,3.5,3.0,3.5,-1
4.0,3.5,4.0,3.5,4.5,248
4.0,3.5,4.5,4.5,4.0,249
4.5,4.0,4.0,4.0,4.5,131
4.0,3.5,4.0,4.0,4.0,124
4.0,4.0,3.5,4.0,4.5,138
4.0,4.0,4.0,4.0,4.5,34
3.0,4.0,4.5,4.0,4.0,250
5.0,5.0,4.0,4.5,4.5,251
1.5,2.5,3.0,2.0,2.0,-1
3.5,4.0,3.5,3.5,4.0,228
4.5,4.0,4.5,4.5,4.0,50
4.5,4.0,4.0,4.0,5.0,252
4.0,3.5,4.0,4.0,3.5,16
4.0,3.5,3.5,4.0,3.5,159
4.5,4.5,4.0,4.0,4.5,5
3.5,3.5,4.0,3.5,3.0,140
3.0,4.0,3.5,3.0,3.0,253
5.0,5.0,5.0,5.0,5.0,0
4.0,3.5,4.5,4.0,4.0,71
4.0,4.5,4.0,4.0,4.5,70
3.5,4.0,3.5,3.5,3.5,149
4.5,4.5,4.5,4.0,4.0,181
2.0,2.5,3.5,3.0,2.0,254
3.0,3.5,2.5,2.5,4.0,-1
3.5,3.0,4.0,3.5,3.5,255
2.0,2.5,4.0,3.0,2.0,256
4.5,4.0,4.0,4.5,4.5,135
4.5,4.5,3.5,4.5,4.5,257
4.0,3.5,4.0,4.0,3.5,16
4.0,4.5,4.5,3.5,3.5,258
4.0,3.0,4.0,4.0,3.5,259
4.0,4.0,4.0,3.0,4.0,260
4.0,5.0,4.0,4.0,4.5,261
4.0,4.0,4.0,4.0,3.0,262
4.0,4.0,4.0,3.5,4.5,101
4.5,5.0,4.0,4.0,4.5,263
4.5,4.5,4.5,4.5,4.5,59
4.5,4.0,3.5,4.0,4.0,244
4.5,3.5,4.0,3.5,4.0,264
4.0,4.0,3.5,4.0,4.0,35
4.0,4.0,4.5,4.0,4.0,12
4.0,4.5,4.0,3.5,4.0,21
4.0,3.5,3.5,3.0,3.5,265
5.0,3.0,3.0,3.0,2.0,-1
4.5,4.0,4.0,4.0,4.5,131
1.0,2.5,3.0,3.0,2.0,-1
4.0,4.0,4.5,4.5,4.0,57
5.0,5.0,4.5,5.0,4.5,266
4.0,3.5,4.0,4.0,4.5,142
4.0,4.0,4.0,4.0,4.5,34
3.5,3.0,4.0,3.5,3.5,255
3.0,4.0,3.0,3.0,3.5,267
4.5,3.5,4.0,4.0,4.0,186
4.0,4.0,4.0,4.0,4.0,49
3.5,4.0,3.5,4.0,4.0,184
3.5,3.5,3.5,3.5,4.0,219
4.0,3.0,3.5,4.0,3.5,268
4.5,4.0,3.5,4.5,4.0,269
4.5,4.5,4.5,4.0,4.5,60
4.0,4.0,3.0,2.5,3.0,270
4.5,4.0,4.5,5.0,4.5,271
3.0,4.0,3.0,3.0,4.5,-1
4.5,3.5,4.0,3.5,4.5,272
4.5,3.5,4.5,4.0,4.0,273
3.0,4.0,4.5,3.0,3.0,274
4.0,4.5,4.5,4.0,4.5,9
3.0,3.5,3.5,3.5,4.0,275
3.5,3.5,4.0,3.0,3.5,237
4.5,4.0,4.5,4.0,4.5,99
3.5,3.5,4.0,4.0,3.5,2
4.5,4.5,4.5,4.5,4.5,59
4.5,3.5,4.5,4.0,4.0,273
4.5,4.0,4.0,4.5,4.0,192
3.5,4.5,3.5,3.5,4.0,276
4.5,3.5,4.0,4.5,4.5,74
3.5,3.0,3.5,3.5,3.5,14
4.5,3.5,3.5,4.5,4.5,277
4.0,4.0,4.0,4.0,4.0,49
4.0,4.0,3.5,3.5,3.5,278
4.0,4.5,4.0,3.0,4.0,279
3.5,4.0,4.5,5.0,4.5,-1
4.5,5.0,4.5,4.5,4.5,120
4.5,5.0,4.0,4.0,4.5,263
4.0,4.5,5.0,4.0,3.5,280
4.0,3.0,4.0,3.5,3.5,107
4.5,4.5,4.5,4.0,4.5,60
4.5,3.5,3.5,4.5,4.0,37
5.0,4.0,5.0,4.0,4.0,281
4.5,4.5,4.0,4.0,4.5,5
5.0,4.0,4.5,4.5,5.0,282
3.5,4.0,3.5,3.5,4.0,228
3.5,3.5,3.0,3.0,3.5,226
4.0,3.5,3.0,3.0,4.0,239
3.0,4.0,3.0,3.5,3.5,283
5.0,4.5,4.5,4.5,4.5,85
3.0,3.5,4.0,3.0,3.0,284
4.0,3.5,3.5,3.5,4.0,150
3.5,4.5,4.5,4.0,4.0,285
3.0,4.0,2.0,3.5,3.0,-1
3.5,3.5,3.5,3.5,3.5,134
3.5,3.5,3.5,3.5,3.5,134
4.0,4.5,4.0,4.5,4.0,203
4.0,4.0,4.0,4.5,4.5,86
3.5,4.0,4.0,4.0,4.0,79
1.5,1.5,3.0,3.0,1.5,-1
3.5,3.0,4.5,4.0,3.5,286
2.5,2.5,3.0,2.5,3.0,287
4.0,3.5,4.0,3.5,3.5,123
4.5,4.0,4.0,4.5,4.5,135
3.5,4.5,4.0,3.5,4.0,288
2.5,2.5,3.0,3.0,3.0,289
3.0,4.5,4.5,4.5,4.0,290
5.0,4.5,4.0,4.5,5.0,291
4.5,4.0,3.0,4.5,4.5,-1
3.0,2.5,3.5,3.0,3.0,292
4.0,4.0,4.0,4.0,4.0,49
4.0,3.5,4.0,4.0,4.0,124
4.0,3.5,3.5,4.0,3.5,159
4.0,4.0,4.0,4.0,4.0,49
3.0,3.0,3.0,3.5,3.0,293
5.0,4.0,5.0,4.5,5.0,294
4.0,4.0,4.5,4.5,4.5,191
3.0,3.0,3.0,3.0,3.0,92
4.0,4.5,4.0,4.0,4.5,70
3.5,4.0,3.5,3.0,3.5,295
3.0,2.5,4.0,3.0,3.5,296
4.0,4.5,4.0,5.0,3.5,297
4.5,4.0,4.5,4.5,4.5,136
3.5,3.5,4.0,3.0,3.0,298
1.0,1.0,1.0,1.0,1.0,299
5.0,3.5,4.0,3.5,4.0,300
3.0,4.0,3.0,2.0,3.0,-1
4.0,3.5,4.0,4.0,3.5,16
4.0,4.5,4.0,3.5,3.5,301
4.0,2.5,3.5,3.5,3.5,302
4.5,3.5,4.5,4.0,4.5,303
4.0,4.0,3.5,3.0,3.5,304
3.5,4.0,4.0,5.0,4.0,-1
5.0,4.0,4.5,4.0,4.0,305
4.0,4.0,5.0,4.0,4.0,17
3.5,4.0,4.0,3.5,4.0,89
3.0,3.0,2.5,3.0,3.5,-1
3.5,4.0,4.0,3.5,3.0,169
4.0,4.0,4.0,4.0,4.0,49
4.5,4.0,4.0,3.0,4.5,306
3.0,4.0,4.0,3.5,3.5,307
3.0,4.5,4.0,4.0,4.0,308
3.5,3.5,4.0,3.5,3.5,6
3.5,4.0,4.0,3.0,3.0,195
3.0,3.5,3.0,3.5,3.5,309
3.5,3.5,3.5,3.5,4.0,219
3.0,2.0,2.0,3.0,3.0,310
3.5,3.0,3.0,4.0,4.0,311
4.0,4.0,3.5,4.0,5.0,-1
2.5,2.5,2.0,3.0,3.5,-1
2.0,2.0,2.5,2.0,2.0,312
3.5,3.0,4.0,4.0,3.5,11
4.5,4.0,4.5,4.5,4.5,136
4.0,4.5,4.0,4.0,4.0,8
4.0,4.0,3.5,4.0,4.0,35
5.0,5.0,5.0,5.0,5.0,0
