review_profilename,beer_beerid,beer_name,beer_abv,beer_style,review_overall,review_aroma,review_appearance,review_palate,review_taste,km_labels
flagmantho,69070,Best Of Beer Camp: Weizenbock - Beer Camp #37,6.8,Weizenbock,4.0,4.0,4.5,4.5,4.0,10
sleazo,266,Kingfisher Premium Lager,4.8,American Pale Lager,3.0,2.5,3.0,3.0,3.0,9
plaid75,6092,O'Reilly's Irish Stout,3.6,Irish Dry Stout,4.0,4.0,4.5,4.0,4.0,10
fourplayed,7971,Pliny The Elder,8.0,American Double / Imperial IPA,4.5,4.5,4.5,4.5,4.5,1
jimcmiller2003,1056,Double Bastard Ale,10.5,American Strong Ale,4.5,4.5,4.5,4.0,4.5,1
vkv822,1745,Duchesse De Bourgogne,6.0,Flanders Red Ale,4.5,3.5,4.0,4.0,4.5,7
beagle75,51268,John John Hazelnut (Rum Barrel Aged),5.0,American Brown Ale,4.0,4.0,3.0,4.5,3.5,6
BigBry,23485,Original Draught,5.0,American Pale Lager,2.5,2.5,2.5,2.5,2.5,9
bnuttz,56973,Shakespeare Oatmeal Stout,6.1,Oatmeal Stout,4.5,4.0,5.0,4.0,5.0,1
rarbring,52610,Innis & Gunn Limited Edition Highland Cask,7.1,English Strong Ale,3.0,2.5,4.0,2.5,3.5,4
CrazyDavros,2280,Miller Genuine Draft,4.66,American Adjunct Lager,2.0,1.5,2.0,1.5,1.5,2
cleeze,30282,Brother Thelonious,9.4,Belgian Strong Dark Ale,4.0,4.0,3.5,3.0,4.5,5
natasharai,49449,Dunkel Weiss,6.4,Dunkelweizen,4.0,4.5,2.5,4.0,4.0,5
Georgiabeer,1967,Baltika #9 Extra (Strong),8.0,Euro Strong Lager,1.5,2.0,3.0,2.5,2.0,2
SDDanC,54604,Certified Evil,9.6,Belgian Strong Dark Ale,2.5,2.5,3.0,3.0,2.5,9
philipquarles,1967,Baltika #9 Extra (Strong),8.0,Euro Strong Lager,2.0,2.5,3.5,2.0,1.0,8
Floydster,43335,Brute,6.5,American Wild Ale,4.0,4.5,4.0,4.0,4.5,3
AnPiobaire,53470,He'Brew Jewbelation Bar Mitzvah (13),13.0,American Strong Ale,4.0,4.5,4.0,4.0,4.5,3
elricorico,611,Hop Ottin' IPA,7.0,American IPA,4.0,3.5,4.5,4.0,4.0,7
Dithyramb,2478,Petrus Gouden Tripel,7.5,Tripel,4.0,4.0,4.5,4.0,3.0,0
chumba526,1086,Kodiak Brown Ale,5.0,American Brown Ale,3.0,3.5,4.0,4.0,3.5,0
Erdinger2003,2354,Oatmeal Stout,4.95,Oatmeal Stout,4.0,4.0,4.5,4.0,4.5,10
Lldeegan,29688,Cascade Single Hop IPA,6.8,American IPA,3.0,4.0,4.0,4.0,3.5,0
krisandajt,37328,Shiva IPA,6.0,American IPA,4.5,3.5,4.0,4.5,4.5,3
bditty187,336,Millstream Schild Brau Amber,4.9,Vienna Lager,3.5,3.0,3.5,3.5,3.0,4
bignick,3833,AleSmith Speedway Stout,12.0,American Double / Imperial Stout,4.5,4.5,4.5,4.5,4.0,1
kawilliams81,1709,Oude Kriek,6.0,Lambic - Fruit,4.0,4.5,4.5,3.5,4.5,10
jujubeast6000,2310,Butte Creek Organic Porter,6.1,American Porter,3.0,3.0,4.0,3.0,3.0,4
DarkerTheBetter,224,Schneider Aventinus,8.2,Weizenbock,3.5,4.5,4.0,4.0,4.5,5
far333,1372,Maximus,8.2,American Double / Imperial IPA,4.0,4.5,4.0,4.0,4.0,5
jwc215,20769,Birra Del 150° Anniversario Amber,5.0,Vienna Lager,2.5,3.0,3.5,3.5,2.5,8
alleykatking,56168,Rye-on-Rye,11.0,Rye Beer,3.5,4.0,4.0,4.0,4.0,5
Huhzubendah,1352,Shiner Bock,4.4,Bock,3.0,3.0,3.5,3.0,3.0,4
Redrover,38365,Samuel Adams Irish Red,5.8,Irish Red Ale,3.5,3.5,4.0,3.5,3.5,0
slyke,1251,Black Jack Porter,6.4,English Porter,4.0,4.0,3.5,3.5,4.0,5
DesMoinesMike,2910,Presidente,5.0,American Adjunct Lager,5.0,3.0,4.0,4.0,3.5,7
MadTown1000,1719,Lone Star Beer,4.72,American Adjunct Lager,4.5,3.0,3.0,4.0,3.5,6
jreitman,2983,Hale's Drawbridge Blonde,4.9,American Blonde Ale,4.5,4.0,4.5,4.0,4.0,10
robbrandes,39,Alpha King Pale Ale,6.0,American Pale Ale (APA),4.0,4.5,4.0,5.0,4.0,3
Zorro,22173,Reality Czeck,4.8,Czech Pilsener,4.0,5.0,4.0,4.0,5.0,3
kmpitz2,14366,Imperial IPA,9.0,American Double / Imperial IPA,5.0,4.5,4.5,4.5,4.5,1
chicagobill13,60420,Sierra Nevada Tumbler Autumn Brown Ale,5.5,American Brown Ale,5.0,3.0,5.0,5.0,4.5,1
wingman14,4083,Stone Ruination IPA,7.7,American Double / Imperial IPA,4.5,4.0,4.5,4.5,4.0,10
Cyberkedi,60864,Sanctuary (Brewmaster Reserve),7.0,Dubbel,4.0,4.0,4.0,4.5,4.5,3
jhollick,18305,DreamWeaver Wheat,4.8,Hefeweizen,5.0,4.0,3.5,3.5,4.0,3
farrago,1003,Golden Monkey,9.5,Tripel,3.5,4.5,4.0,4.0,4.0,5
stewart124,1587,Midas Touch Golden Elixir,9.0,Herbed / Spiced Beer,4.0,4.0,4.0,4.0,4.0,5
JMad,41784,Lake Placid India Pale Ale,6.8,American IPA,4.0,4.0,4.0,4.0,4.0,5
CrazyMike,7221,Lakeport Pilsener,5.0,German Pilsener,4.0,2.0,3.5,3.0,2.5,9
HopNuggets,30970,He'Brew Bittersweet Lenny's R.I.P.A.,10.0,American Double / Imperial IPA,3.5,4.0,4.0,3.5,4.0,5
daliandragon,2397,Black Eye Ale,6.5,Black & Tan,3.5,4.0,4.0,4.0,3.5,0
Dubblebock,20369,Freestyle Wheat Beer,4.7,American Pale Wheat Ale,5.0,4.0,4.5,4.5,4.5,1
yesyouam,2189,Steam Whistle Pilsner,5.0,German Pilsener,3.0,3.0,3.0,3.0,3.0,4
CommerceComet,17593,Cape Cod IPA,6.5,American IPA,4.0,4.0,4.0,4.0,4.0,5
NDPDuke,39947,Bell's Eccentric Ale 2006 (Released 2007),10.5,American Strong Ale,3.5,4.0,4.5,4.0,4.0,10
AdamBear,31503,Big Red (Imperial Red),9.5,American Amber / Red Ale,4.0,4.0,4.5,3.5,4.0,10
ngeunit1,76094,Pre-Invasion,6.8,American IPA,4.0,4.5,4.0,4.0,4.5,3
dismal,63806,Santa's Swallie,4.3,Scottish Ale,4.0,3.5,4.0,3.5,3.0,0
ehoyme,131,Ayinger Celebrator Doppelbock,6.7,Doppelbock,3.0,4.5,3.5,4.0,4.0,5
emmasdad,64180,Brainless On Cherries Belgian Style Ale,10.0,Belgian Strong Dark Ale,3.5,4.0,3.0,4.0,4.0,6
ecoastman,1608,Bornem Dubbel,7.0,Dubbel,4.0,4.0,4.0,4.0,4.0,5
Neskimo,1054,Trippel Belgian Style Ale,7.8,Tripel,4.5,3.5,4.5,4.0,3.5,7
bark,13072,Rhenania Alt,4.8,Altbier,4.5,4.0,4.5,4.0,4.5,10
jamesm7485,197,Obsidian Stout,6.4,American Stout,4.5,4.5,5.0,4.5,5.0,1
jjayjaye,53256,Black Xantus,11.0,American Double / Imperial Stout,4.0,4.0,4.0,3.5,4.5,5
jujubeast6000,13906,Winterhook Winter Ale,5.9,Winter Warmer,2.0,2.5,3.0,3.0,2.5,8
Bierman9,36399,Starr Hill Pale Ale,6.08,English Pale Ale,3.5,3.0,4.0,4.0,3.5,0
TheycallmeTim,43897,Brooklyn Grand Cru,8.4,Witbier,3.5,4.0,3.5,3.5,3.0,0
weissbierdrinker,18760,Bucanero Fuerte,5.4,American Adjunct Lager,2.5,2.5,2.0,2.5,3.0,9
BeaBeerWife,1056,Double Bastard Ale,10.5,American Strong Ale,4.5,4.5,4.5,4.0,5.0,1
TommyW,32423,Red Barn Ale,6.7,Saison / Farmhouse Ale,4.5,4.5,5.0,4.5,4.0,1
jrallen34,16329,Nefarious Ten Pin Imperial Porter,8.0,Baltic Porter,3.0,3.5,3.5,3.0,3.5,4
TenHornsProud,45576,Bombshell Blonde,5.25,American Blonde Ale,3.5,3.0,4.0,4.0,3.5,0
pgenius,1658,Big Bear Black Stout,8.1,American Double / Imperial Stout,4.5,4.5,4.5,4.5,4.5,1
aforbes10,2520,San Quentin Breakout Stout,7.0,Foreign / Export Stout,4.0,3.0,4.0,3.5,3.5,7
SpecialK088,10433,Porter,5.2,American Porter,3.5,3.5,3.5,3.0,4.0,6
bunnyhustle,1212,Blue Moon Belgian White,5.4,Witbier,3.0,3.0,3.5,4.0,3.0,0
Beastdog75,1328,Pete's Wicked Red Rush,5.3,American Amber / Red Ale,3.0,2.5,3.0,2.5,2.5,9
bluemoonswoon,45336,Bowen Island Extra Pale Ale,5.0,American Pale Ale (APA),3.5,2.5,3.0,3.5,3.0,9
CMB2012,68960,Best Of Beer Camp: California Common - Beer Camp #8,6.5,California Common / Steam Beer,4.0,3.0,4.0,4.5,4.0,7
BdubleEdubleRUN,44155,Stone Old Guardian Barley Wine Style Ale Aged In Bourbon Barrels,11.2,American Barleywine,4.5,4.5,4.5,4.5,4.5,1
carln26,13217,Mojo Ale,6.3,American Strong Ale,3.5,4.0,4.0,3.5,4.5,5
gboy515duo,34,La Fin Du Monde,9.0,Tripel,3.0,4.5,4.0,4.5,5.0,3
rodrot,776,Samichlaus Bier,14.0,Doppelbock,3.0,4.0,3.5,4.0,3.5,0
madtowndmb1,49107,Whole Hog Six Hop IPA,8.5,American Double / Imperial IPA,3.5,3.5,3.0,3.5,3.0,4
TempeBeerMan,412,Old Rasputin Russian Imperial Stout,9.0,Russian Imperial Stout,4.5,5.0,4.0,5.0,4.5,1
feloniousmonk,30471,Oktoberfest Lager,5.8,Märzen / Oktoberfest,3.5,4.0,4.0,3.0,3.5,0
ommegoose,848,Tecate,4.5,American Adjunct Lager,2.5,3.0,2.0,3.0,2.5,9
Mancer,46070,Back In Black,6.8,American Black Ale,4.5,4.0,5.0,4.0,4.5,10
vtrim,1262,Bully! Porter,5.2,American Porter,4.5,4.0,4.5,4.0,4.5,10
KeefD,38903,Saint Landelin La Divine,8.5,Bière de Garde,4.0,4.0,4.5,3.5,4.0,10
Matthew,33599,Barleywine Style Ale,10.9,American Barleywine,4.0,4.0,4.0,4.0,4.0,5
Brent,1371,Labatt Blue,5.0,American Adjunct Lager,3.0,4.0,3.0,3.0,3.0,4
jjayjaye,19976,Duck-Rabbit Amber Ale,5.5,American Amber / Red Ale,3.5,3.5,4.0,3.5,3.5,0
Crosling,1206,Bell's Pale Ale,5.2,American Pale Ale (APA),3.0,4.0,3.5,4.0,2.5,0
HopHead84,6075,Staghorn Octoberfest,6.25,Märzen / Oktoberfest,5.0,4.5,4.5,4.5,4.5,1
GratefulBeerGuy,1658,Big Bear Black Stout,8.1,American Double / Imperial Stout,4.0,5.0,4.5,4.5,4.0,10
turamarth,1262,Bully! Porter,5.2,American Porter,4.5,5.0,4.5,4.5,4.5,1
onix1agr,62732,Fireside Chat,7.9,Winter Warmer,4.0,4.0,4.0,4.5,4.5,3
Derek,63218,Belgian Abbey Special (Tripel),8.4,Tripel,4.0,4.0,4.0,4.0,4.0,5
tobelerone,1079,Shelter Pale Ale,5.0,American Pale Ale (APA),3.5,3.5,4.5,3.5,4.0,0
metter98,615,Barney Flats Oatmeal Stout,5.7,Oatmeal Stout,4.0,4.0,4.0,4.5,4.0,3
goodbyeohio,7975,Bière Du Boucanier Golden,11.0,Belgian Strong Pale Ale,4.0,3.5,4.0,3.5,3.5,0
deanhead,7763,Cabin Fever Ale,6.3,Winter Warmer,3.0,2.0,3.5,3.5,3.5,9
CJfromPhilly,34590,Monk's Uncle Tripel,9.0,Tripel,4.0,3.5,4.0,4.0,4.0,7
AlexanderSelby,2526,Highland Gaelic Ale,5.8,American Amber / Red Ale,4.5,3.0,4.5,4.0,3.5,7
mckeowbc,1904,Sierra Nevada Celebration Ale,6.8,American IPA,4.0,4.0,4.5,4.0,4.0,10
Barrelista,75454,Autumn 2011 Farmhouse Ale,7.0,Saison / Farmhouse Ale,4.0,4.0,3.5,4.0,4.0,5
JayTheFinn,17026,Jubilee Ale,6.8,Winter Warmer,4.5,4.0,4.0,3.5,4.0,5
CaptJackHarkness,1013,Storm King Stout,9.1,Russian Imperial Stout,4.0,4.0,4.5,3.5,4.0,10
dcx10music,2392,World Wide Stout,18.0,American Double / Imperial Stout,5.0,4.5,5.0,5.0,5.0,1
harrymel,66268,Stone Old Guardian Barley Wine Style Ale 2011,12.0,American Barleywine,3.0,2.0,3.0,3.0,3.0,9
AgentZero,61258,Hombre Secreto,5.0,American Pale Ale (APA),3.5,3.5,3.5,3.0,3.0,4
Bradthoc,65677,Belgian Style Dubbel,7.9,Dubbel,4.0,2.5,3.5,3.5,4.0,6
JoeyBeerBelly,17770,Point Cascade Pale Ale,5.4,American Pale Ale (APA),3.5,3.5,4.0,4.0,3.5,0
MeisterBurger,9088,IPA (India Pale Ale),7.3,American IPA,4.0,4.0,4.5,4.0,4.0,10
Gyle41386,7296,Highland Cold Mountain Winter Ale,5.8,Winter Warmer,4.5,4.0,4.0,4.0,4.0,3
AMo,31473,Samurai Ale,5.1,American Blonde Ale,4.5,3.0,3.0,4.5,4.0,6
allengarvin,23713,Session Lager,5.1,American Pale Lager,4.0,3.5,3.5,3.5,3.5,6
morimech,38426,Saison Athene,7.5,Saison / Farmhouse Ale,4.0,4.0,4.5,4.0,4.0,10
prototypic,31982,Barley's Double Dog Dare Imperial IPA,11.5,American Double / Imperial IPA,4.0,4.0,4.0,4.0,4.5,3
MattBrooks,1213,Doggie Style Classic Pale Ale,5.5,American Pale Ale (APA),4.5,4.0,4.0,4.0,4.5,3
stout,236,Hobgoblin,5.2,English Brown Ale,5.0,4.0,4.5,5.0,5.0,1
SDtastentune,36748,Idiot IPA,8.5,American Double / Imperial IPA,4.5,4.5,3.0,4.5,4.5,3
TurdFurgison,55732,Bell's Batch 9000,12.5,American Strong Ale,4.5,5.0,4.5,4.5,5.0,1
JohnnyP3,39500,Moose Point Porter,5.2,American Porter,4.0,3.5,4.5,4.0,4.0,7
scruffwhor,27903,Alabaster Belgian White,5.4,Witbier,5.0,4.0,3.5,4.0,3.5,3
Vonerichs,55039,Dankenstein IIPA,9.5,American Double / Imperial IPA,3.5,3.5,3.0,3.5,3.0,4
randawakes,24273,M Belgian-Style Barleywine,11.6,American Barleywine,5.0,5.0,5.0,5.0,5.0,1
bsp77,26233,Fresh Hop Pale Ale,6.1,American Pale Ale (APA),4.0,4.0,4.5,4.0,4.0,10
NardiByNature,34688,Long Hammer IPA,6.5,American IPA,3.0,3.5,3.0,2.5,3.0,4
GCBrewingCo,8297,Samuel Adams White Ale,5.2,Witbier,3.5,3.5,3.5,3.5,3.5,0
gford217,34018,Dunkel Lager,5.3,Munich Dunkel Lager,3.5,3.0,3.5,3.5,3.0,4
BretSikkink,74502,Bayern Dunkel,4.7,Munich Dunkel Lager,4.0,3.5,4.0,4.0,3.5,7
JustinJTisdale,30452,Phoenix Pale Ale,5.1,American Pale Ale (APA),4.5,4.0,4.0,4.5,4.5,3
jdhilt,18948,Dundee Pale Ale,5.3,American Pale Ale (APA),3.0,3.0,4.0,3.0,3.0,4
earthboundagain,2967,Leinenkugel's Berry Weiss,4.7,Fruit / Vegetable Beer,4.0,4.0,2.0,2.5,3.5,6
jrallen34,3734,Michelob Ultra,4.2,Light Lager,3.5,2.5,1.5,1.5,2.0,9
Haybeerman,62328,Estate Homegrown Wet Hop Ale,6.7,American IPA,4.5,4.0,4.5,4.5,4.5,1
GJ40,25985,Imperial Stout,7.5,American Double / Imperial Stout,4.0,4.0,4.0,4.0,4.0,5
Halcyondays,6298,Heritage,8.1,Scotch Ale / Wee Heavy,4.0,3.5,3.0,4.5,4.0,6
SirSketch,57865,4th Anniversary Double IPA,10.0,American Double / Imperial IPA,3.5,3.5,3.5,3.0,3.0,4
UCLABrewN84,28578,Jahva (Imperial Coffee Stout),10.4,American Double / Imperial Stout,3.5,3.5,4.0,4.0,3.5,0
shambeano,43579,Hop Hog,5.8,American IPA,4.0,4.0,3.5,4.0,4.5,3
dogfishandi,32258,CB's Canandaigua Lake Ale,4.75,American Pale Ale (APA),3.5,3.5,3.5,3.5,3.0,0
GbVDave,709,Big Eye IPA,7.0,American IPA,4.5,4.0,4.0,4.0,4.5,3
bigdeuce,272,Harvest,4.6,American Brown Ale,3.5,3.5,4.0,3.5,3.0,0
tcampbel1,74226,Hits From The Vine,6.5,Saison / Farmhouse Ale,4.0,4.5,4.0,4.0,4.0,5
Bob38,34456,Stone Ruination IPA Double Dry Hopped,7.7,American Double / Imperial IPA,4.5,4.0,4.5,4.0,4.5,10
baggio,52132,Hemel & Aarde,9.5,Russian Imperial Stout,4.0,4.0,4.5,4.5,4.0,10
nkersten,8626,Southampton Berliner Weisse,2.0,Berliner Weissbier,5.0,4.5,4.0,4.0,4.5,3
proc,115,Butthead Doppelbock,8.2,Doppelbock,4.0,3.5,4.0,4.0,4.5,7
shapudding,4718,Vapeur Cochonne,9.0,Belgian Strong Dark Ale,3.5,4.5,3.5,4.5,4.5,3
mmmbeer,2151,Tire Bite Golden Ale,5.1,Kölsch,4.0,3.0,4.0,3.5,3.5,7
BeerNoobNC,88,Stone IPA (India Pale Ale),6.9,American IPA,4.0,4.0,3.5,4.0,4.0,5
scootny,61703,Encore,6.0,American IPA,3.5,3.0,3.5,3.5,4.0,6
DuqTroops,16074,Founders Red's Rye PA,6.6,Rye Beer,4.0,4.0,4.5,4.0,4.5,10
brewcrew76,33832,Palo Santo Marron,12.0,American Brown Ale,4.0,4.5,4.5,4.5,3.5,10
Impfan,50697,Double Jack,9.5,American Double / Imperial IPA,5.0,5.0,5.0,5.0,5.0,1
BrewMonkey,27371,AleSmith Grand Cru Ale,10.0,Belgian Strong Dark Ale,4.5,4.0,4.0,4.0,4.5,3
metter98,18862,Burton Baton,10.0,American Double / Imperial IPA,3.5,4.5,3.5,3.5,4.5,5
beerguy101,12983,Bearly Legal Barley Wine,10.0,American Barleywine,4.0,4.5,5.0,5.0,4.5,1
deBeers,16074,Founders Red's Rye PA,6.6,Rye Beer,4.0,4.5,4.0,4.5,4.5,3
connecticutpoet,33427,Arcadia Cereal Killer Barley Wine,10.0,English Barleywine,3.5,4.0,3.5,3.5,3.5,0
StJamesGate,48861,Zeitgeist,4.9,Schwarzbier,4.0,3.5,3.5,3.5,4.0,6
kenpo23,902,Saranac Caramel Porter,5.4,American Porter,2.0,3.0,4.0,2.5,2.0,8
mrfrancis,22869,Beck's Premier Light,2.3,Light Lager,2.0,1.5,2.0,1.5,2.0,2
DoctorDog,18862,Burton Baton,10.0,American Double / Imperial IPA,4.5,4.5,4.0,4.5,4.5,3
HeyItsChili,46410,Dark Horizon 2nd Edition,17.5,Russian Imperial Stout,3.5,4.5,4.5,4.0,4.5,10
